Company Name ,Country ,Reporting Year,Ticker Symbol ,ISIN ,Disclosure Score,Performance Band,Parent Account ,Permission,Response Status,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e)
Baxter International Inc.,USA,2013,BAX US,US0718131099,82,B,,Public,AQ*,345000,445000
Exxon Mobil Corporation,USA,2013,XOM US,US30231G1022,80,B,,Public,AQ*,132000000,14000000
Allstate Corporation,USA,2013,ALL US,US0200021014,96,B,,Public,AQ*,40796,150401
Thomson Reuters Corporation,USA,2013,TRI US,CA8849031056,95,B,,Public,AQ*,,
Target Corporation,USA,2013,TGT US,US87612E1064,91,B,,Public,AQ*,527047,2489866
"American Electric Power Company, Inc.",USA,2013,AEP US,US0255371017,68,D,,Public,AQ*,121927400,
"Automatic Data Processing, Inc.",USA,2013,ADP US,US0530151036,83,C,,Public,AQ*,15500,157100
MasterCard Incorporated,USA,2013,MA US,US57636Q1040,43,,,Public,AQ*,3025.8,37825
"MetLife, Inc.",USA,2013,MET US,US59156R1086,92,A-,,Not public,AQ*,,
"Cisco Systems, Inc.",USA,2013,CSCO US,US17275R1023,100,A,,Public,AQ*,65832,628164
Anadarko Petroleum Corporation,USA,2013,APC US,US0325111070,75,C,,Public,AQ*,5056818,535843
Berkshire Hathaway,USA,2013,BRK/B US,US0846707026,,,,,NR,,
Time Warner Cable Inc.,USA,2013,TWC US,US88732J2078,,,,,NR,,
"NextEra Energy, Inc.",USA,2013,NEE US,US65339F1012,,,,,NR,,
"Yum! Brands, Inc.",USA,2013,YUM US,US9884981013,92,B,,Public,AQ*,156510,2377372
Baker Hughes Incorporated,USA,2013,BHI US,US0572241075,90,B,,Public,AQ*,516000,425000
"Illinois Tool Works, Inc.",USA,2013,ITW US,US4523081093,79,C,,Not public,AQ*,,
Facebook,USA,2013,FB US,,,,,,NR,,
Priceline.Com Inc,USA,2013,PCLN US,US7415034039,,,,,NR,,
Ford Motor Company,USA,2013,F US,US3453708600,72,C,,Public,AQ*,1698799,3440338
Hewlett-Packard,USA,2013,HPQ US,US4282361033,99,A,,Public,AQ*,246000,1643000
Sysco Corporation,USA,2013,SYY US,US8718291078,66,C,,Public,AQ*,788200,336857
Boeing Company,USA,2013,BA US,US0970231058,96,A-,,Public,AQ*,576000,998000
salesforce.com,USA,2013,CRM US,US79466L3024,90,C,,Public,AQ*,2349.52,29428.55
BlackRock,USA,2013,BLK US,US09247X1019,79,C,,Not public,AQ*,,
Intel Corporation,USA,2013,INTC US,US4581401001,85,B,,Public,AQ*,794759,2331048
"Noble Energy, Inc.",USA,2013,NBL US,US6550441058,76,C,,Public,AQ*,2078600,61630
CBS Corp.,USA,2013,CBS US,US1248572026,24,,,Public,AQ*,,
Morgan Stanley,USA,2013,MS US,US6174464486,96,A,,Public,AQ*,13757.46,330746.62
CVS Caremark Corporation,USA,2013,CVS US,US1266501006,92,B,,Public,AQ*,201000,1495000
Walt Disney Company,USA,2013,DIS US,US2546871060,78,C,,Public,AQ*,867353,899027
BB&T Corporation,USA,2013,BBT US,US0549371070,,,,,NR,,
"Dominion Resources, Inc.",USA,2013,D US,US25746U1097,,,,Not public,DP,,
General Growth Properties,USA,2013,GGP US,US3700231034,,,,,NR,,
United Technologies Corporation,USA,2013,UTX US,US9130171096,87,B,,Public,AQ*,801694,880896
Simon Property Group,USA,2013,SPG US,US8288061091,98,B,,Public,AQ*,21854,496006
The Chubb Corporation,USA,2013,CB US,US1712321017,52,D,,Public,AQ*,1129,10133
EMC Corporation,USA,2013,EMC US,US2686481027,97,A,,Public,AQ*,45886,368528
Visa,USA,2013,V US,US92826C8394,61,D,,Public,AQ*,8151,68313
eBay Inc.,USA,2013,EBAY US,US2786421030,75,D,,Public,AQ*,14374,225952
Johnson Controls,USA,2013,JCI US,US4783661071,94,A-,,Public,AQ*,866181,1465658
Cognizant Technology Solutions Corp.,USA,2013,CTSH US,US1924461023,64,C,,Public,AQ*,46934,137460
Deere & Company,USA,2013,DE US,US2441991054,79,C,,Public,AQ*,440147,1053446
"Altria Group, Inc.",USA,2013,MO US,US02209S1033,75,C,,Public,AQ*,283926,236169
Devon Energy Corporation,USA,2013,DVN US,US25179M1036,86,B,,Public,AQ*,7596657,1087905
Occidental Petroleum Corporation,USA,2013,OXY US,US6745991058,61,E,,Public,AQ*,14270000,5600000
Stryker Corporation,USA,2013,SYK US,US8636671013,53,E,,Not public,AQ*,,
"National Oilwell Varco, Inc.",USA,2013,NOV US,US6370711011,,,,,NR,,
General Mills Inc.,USA,2013,GIS US,US3703341046,78,B,,Public,AQ*,259400,737000
The Southern Company,USA,2013,SO US,US8425871071,,,,Public,IN,,
UnitedHealth Group Inc,USA,2013,UNH US,US91324P1021,98,B,,Public,AQ*,8693.78,104200.46
Phillips 66,USA,2013,PSX US,,,,,,NR,,
Verizon Communications Inc.,USA,2013,VZ US,US92343V1044,84,B,,Public,AQ*,512899.04,5334874.05
Raytheon Company,USA,2013,RTN US,US7551115071,98,A,,Public,AQ*,101715,435872
Apache Corporation,USA,2013,APA US,US0374111054,70,C,,Public,AQ*,10766000,1314000
Pfizer Inc.,USA,2013,PFE US,US7170811035,91,B,,Public,AQ*,1217736,1155762
"Air Products & Chemicals, Inc.",USA,2013,APD US,US0091581068,99,B,,Public,AQ*,14767209,10563030
Equity Residential,USA,2013,EQR US,US29476L1070,,,,Not public,DP,,
Schlumberger Limited,USA,2013,SLB US,AN8068571086,83,C,,Public,AQ*,2200000,550000
NIKE Inc.,USA,2013,NKE US,US6541061031,70,D,,Not public,AQ*,,
Time Warner Inc.,USA,2013,TWX US,US8873173038,,,,Public,AQ*,23777,194010
Yahoo! Inc.,USA,2013,YHOO US,US9843321061,91,B,,Public,AQ*,4002.04,333290.8
Celgene Corporation,USA,2013,CELG US,US1510201049,80,C,,Public,AQ*,14458,18420
Reynolds American Inc.,USA,2013,RAI US,US7617131062,70,B,,Public,AQ*,107093,167402
"Wal-Mart Stores, Inc.",USA,2013,WMT US,US9311421039,94,A-,,Public,AQ*,5605099,15581135
Hess Corporation,USA,2013,HES US,US42809H1077,97,B,,Public,AQ*,7409486,584695
Charles Schwab Corporation,USA,2013,SCHW US,US8085131055,55,E,,Not public,AQ*,,
"Amgen, Inc.",USA,2013,AMGN US,US0311621009,76,B,,Public,AQ*,119968,286679
Kellogg Company,USA,2013,K US,US4878361082,84,B,,Public,AQ*,536069,671729
E.I. du Pont de Nemours and Company,USA,2013,DD US,US2635341090,96,A,,Public,AQ*,10817680,4416220
Procter & Gamble Company,USA,2013,PG US,US7427181091,47,,,Public,AQ*,2799000,3028000
Spectra Energy Corp,USA,2013,SE US,US8475601097,98,A,,Public,AQ*,8381680,608390
Cummins Inc.,USA,2013,CMI US,US2310211063,91,B,,Public,AQ*,232052,409890
American Express,USA,2013,AXP US,US0258161092,87,C,,Public,AQ*,23371,142667
AFLAC Incorporated,USA,2013,AFL US,US0010551028,85,B,,Public,AQ*,3884,18536
Biogen Idec Inc.,USA,2013,BIIB US,US09062X1037,92,B,,Public,AQ*,46588,39307
"Merck & Co., Inc.",USA,2013,MRK US,US58933Y1055,87,B,,Public,AQ*,1053000,927000
Citigroup Inc.,USA,2013,C US,US1729674242,95,B,,Public,AQ*,35569.83,993687.28
International Business Machines (IBM),USA,2013,IBM US,US4592001014,86,B,,Public,AQ*,541584,2208459
"PPG Industries, Inc.",USA,2013,PPG US,US6935061076,60,D,,Public,AQ*,4053000,1810000
HCP Inc.,USA,2013,HCP US,US40414L1098,97,A-,,Public,AQ*,28940,216887
McDonald's Corporation,USA,2013,MCD US,US5801351017,71,D,,Not public,AQ*,,
"TJX Companies, Inc.",USA,2013,TJX US,US8725401090,98,B,,Public,AQ*,63084,686955
Emerson Electric Co.,USA,2013,EMR US,US2910111044,,,,Public,AQ*,264967,
Kinder Morgan Inc.,USA,2013,KMI US,,,,,,NR,,
Starbucks Corporation,USA,2013,SBUX US,US8552441094,86,C,,Public,AQ*,239972,792644
Freeport-McMoRan Copper & Gold Inc.,USA,2013,FCX US,US35671D8570,86,C,,Public,AQ*,5679367,3985464
Amazon.com Inc.,USA,2013,AMZN US,US0231351067,,,,,NR,,
Lockheed Martin Corporation,USA,2013,LMT US,US5398301094,91,A,,Public,AQ*,249491,985006
Crown Castle International Corp,USA,2013,CCI US,US2282271046,,,,,NR,,
"PNC Financial Services Group, Inc.",USA,2013,PNC US,US6934751057,89,B,,Public,AQ*,47606,398414
QUALCOMM Inc.,USA,2013,QCOM US,US7475251036,56,D,,Public,AQ*,64782,49216
BNY Mellon,USA,2013,BK US,US0640581007,100,A,,Public,AQ*,9513,208926
Texas Instruments Incorporated,USA,2013,TXN US,US8825081040,64,D,,Public,AQ*,827274.44,1588465.81
Capital One Financial,USA,2013,COF US,US14040H1059,71,C,,Public,AQ*,14501,194433
Marathon Oil Corporation,USA,2013,MRO US,US5658491064,,,,,NR,,
UPS,USA,2013,UPS US,US9113121068,99,A-,,Public,AQ*,11715635,823212
"PepsiCo, Inc.",USA,2013,PEP US,US7134481081,94,B,,Public,AQ*,3854784,1928490
Corning Incorporated,USA,2013,GLW US,US2193501051,54,D,,Public,AQ*,383729,1129330
"Allergan, Inc.",USA,2013,AGN US,US0184901025,91,B,,Public,AQ*,49128,52049
Ecolab Inc.,USA,2013,ECL US,US2788651006,98,A,,Public,AQ*,336258,199296
General Motors Company,USA,2013,GM US,US37045V1008,100,A-,,Public,AQ*,2454755,5531380
Exelon Corporation,USA,2013,EXC US,US30161N1019,98,A,,Public,AQ*,26038890,5691542
"The Travelers Companies, Inc.",USA,2013,TRV US,US89417E1091,63,C,,Public,AQ*,35633,48175
Johnson & Johnson,USA,2013,JNJ US,US4781601046,98,A-,,Public,AQ*,329556,853700
Wells Fargo & Company,USA,2013,WFC US,US9497461015,96,A,,Public,AQ*,93904,1333372
Philip Morris International,USA,2013,PM US,US7181721090,97,B,,Public,AQ*,441953,433892
Ventas Inc,USA,2013,VTR US,US92276F1003,85,C,,Public,AQ*,43381,314379
"Williams Companies, Inc.",USA,2013,WMB US,US9694571004,,,,,NR,,
U.S. Bancorp,USA,2013,USB US,US9029733048,78,C,,Public,AQ*,38055,370672
