"","EBIT","Operating.Cash.Flow","Operating.Income","EBITDA","Free.Cash.Flow","Gross.Profit","Net.Income.Com","Consolidated.Income","Stock.based.compensation","Dividends.per.Share.Growth","Days.Payables.Outstanding","daysOfInventoryOutstanding"
"279",239378000,344311000,176557000,574060000,107080000,579347000,60020000,68972000,27367000,0.0348,22.5731,79.3102
"280",2.685e+09,2.357e+09,2.366e+09,2.969e+09,1.801e+09,3.674e+09,1.907e+09,1.907e+09,1.84e+08,0.2093,13.4866,37.5058
"281",1.148e+09,1.032e+09,1.211e+09,1.304e+09,8.27e+08,2.689e+09,7.34e+08,7.84e+08,6.9e+07,0.0741,37.1593,46.6348
"282",-235217000,-27317000,-234349000,36715000,-179731000,1798683000,-533299000,-533299000,48915000,-1,43.4918,78.4264
"283",8797300000,6966700000,8822600000,10279300000,4385400000,1.0786e+10,5924300000,5924300000,125100000,0.094,20.9693,42.3847
"284",936300000,1419600000,936300000,1552200000,1212800000,2420700000,255400000,255400000,93200000,0.0056,13.2125,51.6857
"285",2.97e+08,4.345e+09,6.16e+08,1.248e+09,3.765e+09,1.1184e+10,6.7e+07,2.97e+08,0,0.1607,56.3677,31.0261
"286",1877200000,1461100000,1868200000,2069100000,1370700000,4442700000,1309600000,1319400000,130300000,0.1579,57.1157,105.7446
"287",4.674e+09,3.948e+09,3.312e+09,5.485e+09,3.251e+09,1.0352e+10,3.381e+09,3.395e+09,1.28e+08,0.1707,81.5333,42.3005
"288",6.83e+09,4.684e+09,6.64e+09,9.474e+09,3.616e+09,2.0886e+10,3.104e+09,3.095e+09,3.44e+08,0.0698,19.8384,72.9561
"289",6.302e+09,1.1738e+10,6.307e+09,6.93e+09,1.1738e+10,2.0021e+10,4.982e+09,5.128e+09,0,0,133.201,105.5336
"290",1286397000,1722539000,1321796000,2464441000,261308000,4844221000,466772000,583894000,70177000,0.0909,19.0635,20.3926
"291",1084877000,1181344000,1095326000,1606642000,387234000,2838070000,861704000,864855000,31382000,0,55.7123,58.7209
"292",915900000,821200000,903300000,1066600000,664400000,2371600000,898600000,898600000,25600000,0.1064,47.9118,34.9621
"293",712772000,705148000,690737000,1056805000,329194000,966577000,469998000,470376000,29253000,0.0698,18.1292,45.0009
