S&P 500 Companies,Ticker,Sector,Market Cap ($B),PE Ratio (TTM), # Employees,SEC filings
Jack Henry & Associates,JKHY,Technology Services,12.08,40.9,6717,reports
Ingersoll Rand,IR,Producer Manufacturing,15.96,,6600,reports
People’s United Financial,PBCT,Finance,4.86,9.8,6499,reports
Hologic,HOLX,Health Technology,17.59,27.5,6478,reports
FMC Corporation,FMC,Process Industries,13.96,29.6,6400,reports
Albemarle Corp,ALB,Process Industries,10.26,23.1,6000,reports
Intercontinental Exchange,ICE,Finance,55.54,25.7,5989,reports
IPG Photonics Corp.,IPGP,Electronic Technology,10.66,83.4,5960,reports
Public Storage,PSA,Finance,41.1,33.5,5900,reports
Take-Two Interactive,TTWO,Consumer Durables,18.8,41.8,5800,reports
"NVR, Inc.",NVR,Consumer Durables,15.57,19.1,5700,reports
Citizens Financial Group,CFG,Finance,12.43,13.1,5700,reports
Hasbro Inc.,HAS,Consumer Durables,12.61,30.7,5600,reports
American Tower Corp.,AMT,Finance,104.58,54.7,5454,reports
F5 Networks,FFIV,Electronic Technology,7.85,23.9,5325,reports
PULTEGROUP INC,PHME,Consumer Durables,11.79,8.9,5245,reports
DexCom,DXCM,Health Technology,39.35,181.3,5200,reports
Cincinnati Financial,CINF,Finance,12.45,22.9,5148,reports
Crown Castle International Corp.,CCI,Finance,68.32,97.9,5100,reports
"HARLEY-DAVIDSON, INC",HOG,Consumer Durables,4.22,54.6,5000,reports
"Twitter, Inc.",TWTR,Technology Services,39.9,,4900,reports
Xilinx,XLNX,Electronic Technology,28.63,46,4891,reports
Williams Companies,WMB,Industrial Services,24.22,193.2,4812,reports
Brown-Forman Corp.,BF.B,Consumer Non-Durables,35.6,37.4,4800,reports
Church & Dwight,CHD,Consumer Non-Durables,22.73,31.7,4800,reports
Atmos Energy,ATO,Utilities,12.05,19.9,4776,reports
Evergy,EVRG,Utilities,12.79,20.7,4617,reports
NRG Energy,NRG,Utilities,8.22,2,4577,reports
Simon Property Group Inc,SPG,Finance,20.3,11.7,4500,reports
"Nasdaq, Inc.",NDAQ,Finance,21.21,23.8,4361,reports
CME Group Inc.,CME,Finance,58.76,24.7,4360,reports
FLIR Systems,FLIR,Electronic Technology,4.74,35.2,4265,reports
ANSYS,ANSS,Technology Services,28.33,71.2,4100,reports
HollyFrontier Corp,HFC,Energy Minerals,3.3,,4074,reports
Extra Space Storage,EXR,Finance,15.16,35.4,4048,reports
Vornado Realty Trust,VNO,Finance,6.44,,4008,reports
Paycom,PAYC,Technology Services,22.75,125.1,3765,reports
NortonLifeLock,NLOK,Technology Services,12.32,4.1,3600,reports
Alliant Energy Corp,LNT,Utilities,14.15,21.4,3597,reports
SVB Financial,SIVB,Finance,15.34,16.6,3564,reports
Monster Beverage,MNST,Consumer Non-Durables,42.4,38.1,3529,reports
MSCI Inc,MSCI,Technology Services,29.32,56.7,3396,reports
Globe Life Inc.,GL,Finance,9.18,13.1,3196,reports
AvalonBay Communities,AVB,Finance,20.62,26.2,3122,reports
Alexion Pharmaceuticals,ALXN,Health Technology,26.65,32,3082,reports
Vertex Pharmaceuticals Inc,VRTX,Health Technology,55.11,26.6,3000,reports
CF Industries Holdings Inc,CF,Process Industries,5.9,16,3000,reports
EOG Resources,EOG,Energy Minerals,21.84,61.6,2900,reports
ONEOK,OKE,Industrial Services,13.57,20.5,2882,reports
Equity Residential,EQR,Finance,18.89,17,2700,reports
Mid-America Apartments,MAA,Finance,13.57,40.3,2513,reports
Pioneer Natural Resources,PXD,Energy Minerals,14.07,33,2323,reports
Arista Networks,ANET,Electronic Technology,16.28,22.8,2300,reports
Marathon Oil Corp.,MRO,Energy Minerals,3.51,,2000,reports
"Essex Property Trust, Inc.",ESS,Finance,13.21,,1822,reports
Devon Energy,DVN,Energy Minerals,3.58,,1800,reports
Hess Corporation,HES,Energy Minerals,12.09,,1775,reports
Prologis,PLD,Finance,75.95,40.3,1712,reports
Everest Re Group Ltd.,RE,Finance,8.55,15.9,1603,reports
Digital Realty Trust Inc,DLR,Finance,40.97,53.6,1550,reports
ABIOMED Inc,ABMD,Health Technology,12.68,80.1,1536,reports
SBA Communications,SBAC,Finance,32.91,,1475,reports
Incyte,INCY,Health Technology,19.62,,1456,reports
Concho Resources,CXO,Energy Minerals,9.22,,1453,reports
"UDR, Inc.",UDR,Finance,9.67,52.3,1351,reports
SL Green Realty,SLG,Finance,3.42,18.9,1033,reports
Apartment Investment & Management,AIV,Finance,5.07,27.9,950,reports
Verisign Inc.,VRSN,Technology Services,23.06,30,872,reports
Cboe Global Markets,CBOE,Finance,8.89,19.4,823,reports
Boston Properties,BXP,Finance,13.26,11.9,760,reports
Diamondback Energy,FANG,Energy Minerals,4.58,,712,reports
MarketAxess,MKTX,Finance,21.22,82.2,527,reports
Ventas Inc,VTR,Finance,15.99,39.2,516,reports
Kimco Realty,KIM,Finance,4.96,5.1,502,reports
Regency Centers Corporation,REG,Finance,6.48,70.5,450,reports
Welltower Inc.,WELL,Finance,23.06,74.7,443,reports
Alexandria Real Estate Equities,ARE,Finance,20.2,49.3,439,reports
Duke Realty Corp,DRE,Finance,14.33,38.1,400,reports
Federal Realty Investment Trust,FRT,Finance,5.69,21.1,308,reports
Cabot Oil & Gas,COG,Energy Minerals,7.84,25.6,274,reports
Healthpeak Properties,PEAK,Finance,15.33,45.5,204,reports
Realty Income Corporation,O,Finance,20.73,41.3,194,reports
Host Hotels & Resorts,HST,Finance,8.1,99.7,175,reports
Pinnacle West Capital,PNW,Utilities,9.76,16.1,97,reports
Norfolk Southern Corp.,NSC,Transportation,54.95,26.5,,reports
L3Harris Technologies,LHX,Electronic Technology,37.14,28.4,,reports
AutoZone Inc,AZO,Retail Trade,27.66,16.3,,reports
Corteva,CTVA,Process Industries,24.83,48.2,,reports
First Republic Bank,FRC,Finance,22.54,23.3,,reports
AES Corp,AES,Utilities,13.73,72,,reports
Carnival Corp.,CCL,Consumer Services,13.48,,,reports
KeyCorp,KEY,Finance,13.13,11.4,,reports
Huntington Bancshares,HBAN,Finance,10.65,14.6,,reports
